"sample_id","file_name","idat_prefix","array_version","num_dtna","frac_dtna","num_dt","frac_dt","num_dt_mk","frac_dt_mk","num_dt_cg","frac_dt_cg","num_dt_ch","frac_dt_ch","num_dt_rs","frac_dt_rs","mean_intensity","mean_intensity_MU","mean_ii","mean_inb_grn","mean_inb_red","mean_oob_grn","mean_oob_red","na_intensity_M","na_intensity_U","na_intensity_ig","na_intensity_ir","na_intensity_ii","num_probes","num_probes_II","num_probes_IR","num_probes_IG","num_probes_cg","num_probes_ch","num_probes_rs","InfI_switch_R2R","InfI_switch_G2G","InfI_switch_R2G","InfI_switch_G2R","medR","medG","topR","topG","RGratio","RGdistort","mean_beta","median_beta","frac_unmeth","frac_meth","num_na","frac_na","mean_beta_cg","median_beta_cg","frac_unmeth_cg","frac_meth_cg","num_na_cg","frac_na_cg","mean_beta_ch","median_beta_ch","frac_unmeth_ch","frac_meth_ch","num_na_ch","frac_na_ch","mean_beta_rs","median_beta_rs","frac_unmeth_rs","frac_meth_rs","num_na_rs","frac_na_rs","bis_conv_score","qc_flag","qc_reason"
"SPL-DU-00020","209927710051_R05C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R05C01","EPICv2",2,2.13290106538408e-06,886151,0.945038221668615,886151,0.945038221668615,882741,0.945876354939502,2614,0.897048730267673,65,1,3248.71062762881,6497.42125525761,3181.68688881668,3291.0690817555,3881.96809103014,451.204436508897,720.359975922075,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82532,45241,78,444,7502,6466,38891.5,22051.5,1.16022270337148,1.52011063531975,0.615670860489396,0.806747435535108,0.275942813357994,0.572411473891019,51539,0.0549637940044151,0.617392817598164,0.8086266056407,0.273579679656887,0.574440294491816,50511,0.0541236450604981,0.140729231031134,0.113290450601655,0.935348125478194,0.00344299923488906,300,0.102951269732327,0.476315401785836,0.490265384947732,0.384615384615385,0.307692307692308,0,0,1.46955201329505,"PASS","pass"
"SPL-DU-00021","209927710051_R06C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R06C01","EPICv2",2,2.13290106538408e-06,782210,0.834190050421889,782210,0.834190050421889,779305,0.835042410838659,2205,0.756691832532601,63,0.969230769230769,2841.96626383189,5683.93252766379,2759.58320865142,2992.38031082412,3565.95370415204,412.797324779082,727.793586516362,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82446,45048,164,637,6638,5743,43698.5,24605.5,1.15584189448024,1.5365118117066,0.492851856574074,0.495106169687624,0.378951943851395,0.377067539407576,155480,0.165811728822959,0.49424416822126,0.497972333807663,0.376878115756989,0.378297329030354,153947,0.164957589161341,0.0725716276330295,0.0633933232090648,0.997278911564626,0,709,0.243308167467399,0.474142392636295,0.471826985250229,0.349206349206349,0.26984126984127,2,0.0307692307692308,1.37612518934528,"PASS","pass"
"SPL-DU-00022","209927710051_R07C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R07C01","EPICv2",2,2.13290106538408e-06,850149,0.906643787699107,850149,0.906643787699107,846783,0.907346568772422,2582,0.886067261496225,65,1,3387.66790979516,6775.33581959031,3308.90159539309,3383.7190325052,4161.58520760199,469.776903522576,748.437813286637,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82513,45106,97,579,7888,6477,43293,24864.5,1.21784776902887,1.42970009520567,0.578968954541131,0.663675026824066,0.257953605779693,0.472143118441591,87541,0.093358146082394,0.580815285720112,0.66606064474323,0.255254297736256,0.473846310093613,86469,0.0926534312275784,0.0697599533055377,0.0611046304242504,0.998838109992254,0,332,0.113932738503775,0.480912036519824,0.50897923898383,0.338461538461538,0.276923076923077,0,0,1.50051262200392,"FLAGGED","elevated GCT"
"SPL-DU-00023","209927710051_R08C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710051/209927710051_R08C01","EPICv2",2,2.13290106538408e-06,748813,0.798573726015476,748813,0.798573726015476,746260,0.799633968102935,1905,0.653740562800274,62,0.953846153846154,2280.7730001877,4561.54600037539,2191.65816296904,2343.42153879829,3119.25292942743,337.574155671226,743.457108460107,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82309,44264,301,1421,5215,4095,47213,25716.5,1.27350427350427,1.44161512266496,0.573439295359341,0.699948891738887,0.295574462516009,0.499960604316431,188877,0.201427977263275,0.574977122283068,0.702258001056739,0.293445983973414,0.501478037145231,186992,0.200366031897065,0.0671350718681822,0.0552431032045715,0.992650918635171,0.0010498687664042,1009,0.346259437199725,0.47634557713954,0.461741472881054,0.387096774193548,0.338709677419355,3,0.0461538461538462,1.20262395577629,"FLAGGED","high NA"
"SPL-DU-00024","210107670102_R02C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R02C01","EPICv2",2,2.13290106538408e-06,859142,0.916234397795429,859142,0.916234397795429,856003,0.917226001122955,2394,0.821551132463967,64,0.984615384615385,1634.77744249686,3269.55488499373,1584.991043288,2086.26818430557,1872.88915385547,222.472218859702,366.904093247237,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82498,45423,112,262,3465,3979,28940.5,19599,0.870821814526263,1.69567578137913,0.572792191730046,0.680218751920074,0.272852450468025,0.481447769984473,78548,0.0837675564418944,0.57444297020078,0.681995671940056,0.270435968098243,0.483040363176297,77249,0.082773998877045,0.0760420463391518,0.0676278856995238,0.999164578111946,0,520,0.178448867536033,0.460741689587175,0.47451290248119,0.34375,0.265625,1,0.0153846153846154,1.26174497327933,"PASS","pass"
"SPL-DU-00027","210107670102_R03C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R03C01","EPICv2",2,2.13290106538408e-06,899209,0.958963962426735,899209,0.958963962426735,895687,0.959748278064231,2683,0.920727522306108,65,1,2060.87724541639,4121.75449083277,2057.0560234645,2053.80427930393,2102.22815639753,248.475801961022,419.245474444566,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82513,45282,97,403,3890,3889,29438,17573.5,1.00025713551041,1.6747052317834,0.567710990385469,0.709288113375086,0.326481385306419,0.505161758834709,38481,0.0410380829485224,0.569408629358309,0.71244713510656,0.32409424274328,0.506971743477353,37565,0.0402517219357687,0.097033730383783,0.0874241990418226,0.995527394707417,0,231,0.0792724776938916,0.460112854791144,0.453134796734674,0.369230769230769,0.307692307692308,0,0,1.32389699947382,"PASS","pass"
"SPL-DU-00029","210107670102_R04C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R04C01","EPICv2",2,2.13290106538408e-06,892059,0.951338824854323,892059,0.951338824854323,888474,0.952019390261151,2750,0.943719972546328,65,1,1972.47848911365,3944.9569782273,1959.61043522739,1875.89788770931,2151.96762498487,239.424434087883,411.167812192186,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82528,45167,82,518,3884,3439,31680.5,18425,1.12939808083745,1.52243053294524,0.552940493258143,0.627653045029713,0.309555758083266,0.453770434466779,45631,0.0486632042572705,0.554646403603149,0.630733201489694,0.307006170129908,0.455420192374791,44778,0.0479806097388487,0.0923906465905241,0.0836014094856936,0.998545454545455,0,164,0.0562800274536719,0.543040764983823,0.576447418503633,0.369230769230769,0.461538461538462,0,0,1.52281454551796,"FLAGGED","elevated GCT"
"SPL-DU-00031","210107670102_R05C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R05C01","EPICv2",2,2.13290106538408e-06,872608,0.93059525129894,872608,0.93059525129894,869152,0.931315443202908,2666,0.914893617021277,65,1,1878.17288586395,3756.34577172791,1856.09726486392,1793.76482434059,2141.1438990437,239.367951821813,412.305899091606,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82520,45140,90,545,3830,3257,34241.5,18981,1.17592876880565,1.53409649170952,0.572645465127579,0.671826293731876,0.286840138985661,0.4820801551212,65082,0.0694067335686634,0.574386283781167,0.674725578314975,0.284258679724605,0.483818710651301,64100,0.0686845567970923,0.0953287547993536,0.0863783256334966,0.996999249812453,0,248,0.0851063829787234,0.547161493199835,0.528612034752354,0.261538461538462,0.353846153846154,0,0,1.47346638464087,"PASS","pass"
"SPL-DU-00033","210107670102_R06C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R06C01","EPICv2",2,2.13290106538408e-06,854279,0.911048237793381,854279,0.911048237793381,851041,0.911909109222375,2435,0.835621139327385,65,1,1749.51669265257,3499.03338530513,1738.21315726724,1633.98639597242,1924.15661542186,209.782157123835,461.104914085586,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82517,44588,93,1097,3333,2918,36509,21468.5,1.14222069910898,1.48884062312186,0.492854615255289,0.44144225366137,0.40416772506406,0.387936493815252,83411,0.0889537053823758,0.494274230077893,0.444603368907773,0.402161587984598,0.389217440757848,82211,0.0880908907776249,0.069794482425353,0.0633748550083416,0.99917864476386,0,479,0.164378860672615,0.524616421748548,0.51263625826802,0.384615384615385,0.446153846153846,0,0,1.12352440175525,"PASS","pass"
"SPL-DU-00034","210107670102_R07C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R07C01","EPICv2",2,2.13290106538408e-06,897953,0.957624497700728,897953,0.957624497700728,894333,0.958297437348112,2777,0.952985586822237,65,1,2479.60823269574,4959.21646539147,2454.85496785863,2292.39426507606,2825.66790340153,271.860095630069,450.480551603371,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82535,45230,75,455,5271,4327,36411.5,19717,1.21816501039982,1.51597351143226,0.510901438031092,0.544289197971233,0.32359266019491,0.377901738732428,39737,0.0423775448175836,0.512467447684806,0.546810579432712,0.321087335477948,0.379251352684067,38919,0.0417025626518882,0.0842021448570568,0.0747811877991051,0.999639899171768,0,137,0.0470144131777625,0.567406234986706,0.585706010392769,0.276923076923077,0.415384615384615,0,0,1.54291354923074,"FLAGGED","elevated GCT"
"SPL-DU-00037","210107670102_R08C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/210107670102/210107670102_R08C01","EPICv2",2,2.13290106538408e-06,856242,0.913141684654171,856242,0.913141684654171,853050,0.914061796813722,2432,0.834591626630062,64,0.984615384615385,1688.60678818541,3377.21357637082,1654.67347011897,1788.34691912006,1965.91900496308,207.781400556833,394.246525117654,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82527,45215,83,470,3353,3159,38857,21882,1.06141183918962,1.673009188208,0.554923873846899,0.642541165981894,0.301532744247538,0.461972199448287,81448,0.0868602629867014,0.556566846591814,0.645204482921178,0.299167692397867,0.4635179649493,80202,0.0859382031862777,0.068011856371756,0.0595729581510596,0.999588815789474,0,482,0.165408373369938,0.503971011515293,0.50191717494976,0.3125,0.328125,1,0.0153846153846154,1.23611470900782,"PASS","pass"
"SPL-DU-00038","209927710016_R01C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710016/209927710016_R01C01","EPICv2",2,2.13290106538408e-06,872473,0.93045128016995,872473,0.93045128016995,869282,0.931454741056006,2415,0.82875772134523,64,0.984615384615385,2455.03638577011,4910.07277154021,2399.40987443677,2179.8542957207,3152.23288342816,258.983924464351,719.07171938273,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82546,43878,64,1807,5743,3986,43386,22587,1.44079277471149,1.33318229701039,0.587343192440674,0.766437096562179,0.306819809896696,0.540320445446449,65217,0.0695507043905768,0.589031699137367,0.768716992581597,0.304537537876086,0.54213592367034,63970,0.0685452589439937,0.0850427600141171,0.0734243013090629,0.990890269151139,0,499,0.17124227865477,0.423293059240874,0.474030511441623,0.40625,0.21875,1,0.0153846153846154,1.22717537548261,"PASS","pass"
"SPL-DU-00039","209927710013_R08C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710013/209927710013_R08C01","EPICv2",2,2.13290106538408e-06,435886,0.464851848376006,435886,0.464851848376006,435181,0.466305992379336,375,0.128689087165408,30,0.461538461538462,434.906900269599,869.813800539198,433.165561105668,623.559078472146,347.639656215954,138.389934632611,347.431257524352,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,79890,36116,2720,9569,658,653,3167.5,22159,1.00765696784073,0.14185797423457,0.798732276731457,0.900185006776261,0.108326489036124,0.826241264917891,501804,0.535149143106997,0.799095606265076,0.900265077314844,0.107975761809454,0.826770929797027,498071,0.533694007620664,0.607515289763552,0.844212484856488,0.269333333333333,0.568,2539,0.871310912834592,0.777161437849911,0.88279851657904,0.1,0.766666666666667,35,0.538461538461538,1.11117674684121,"FLAGGED","high NA"
"SPL-DU-00040","209927710016_R03C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710016/209927710016_R03C01","EPICv2",2,2.13290106538408e-06,772912,0.824274172219331,772912,0.824274172219331,770517,0.825625875969192,1702,0.5840768702814,60,0.923076923076923,1345.62356455452,2691.24712910904,1314.84955083624,1119.63687205866,1772.11519186539,183.40848565549,598.675998686659,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82510,40981,100,4704,2751.5,1766,44416,20768,1.55804077010193,1.37266939702591,0.61930690371936,0.810288552314655,0.26617648580951,0.58517399134701,164778,0.175727585875929,0.620779012115996,0.811311682995124,0.264203125953094,0.586800810364989,162735,0.174374124030808,0.0855284740963375,0.0713905730781307,0.988836662749706,0.000587544065804935,1212,0.4159231297186,0.476830608791912,0.467033818794353,0.283333333333333,0.266666666666667,5,0.0769230769230769,1.11869740770522,"PASS","pass"
"SPL-DU-00041","209927710016_R04C01","~/Desktop/Research Project/My Project/Dara_Validation/data/SinonasalMethyArray_Batch01_2026/209927710016/209927710016_R04C01","EPICv2",2,2.13290106538408e-06,774926,0.826422008173294,774926,0.826422008173294,772364,0.827604977005139,1893,0.649622512010981,63,0.969230769230769,1361.71442100144,2723.42884200288,1309.73649080237,1325.66703513188,1890.91666868418,172.197808981963,506.154700667615,2,2,0,0,4,937690,809395,82610,45685,933252,2914,65,82528,43322,82,2363,3120,2256,44340.5,21244.5,1.38297872340426,1.50917142355397,0.532725409162364,0.594679246441095,0.291698820274452,0.414587973561347,162764,0.173579754503087,0.534090743493251,0.59653581465546,0.289617330688639,0.415771579203588,160888,0.172395022994861,0.0600025657307256,0.0538870773947366,0.999471737982039,0,1021,0.350377487989019,0.527877623180039,0.467858854841693,0.26984126984127,0.333333333333333,2,0.0307692307692308,1.11374592619354,"PASS","pass"
