"sample_id","SMARCB1","NEC-like SMARCA4 ARID1A","ALV RMS","ACC","ADC","PIT AD","CPH","EWS","ONB","SCC","NEC-like IDH2","EMB RMS","NUT","MCC","LECA","MELA","GPC","CTRL","Unknown"
"SPL-DU-00034",0.0121789691141971,0.0207498679269067,0.0039098978833479,0.016805844678673,0.0218054451470988,0.00709563448333914,0.00982411879152754,0.00530544948996738,0.0209495907843797,0.0391739876500887,0.0175452533345291,0.00565556340957294,0.00478995342108309,0.00688063754352169,0.00992693644665308,0.0133607616461928,0.00332994551747536,0.00410542655756821,0.776606716173878
"SPL-DU-00037",0.0421574308843135,0.0758701434488442,0.0130491504006901,0.0520479170627044,0.0472438414839887,0.0221418357374093,0.0480262594677677,0.0225087954633667,0.0302556559425418,0.0484952996437373,0.0234175577236987,0.0187711625143776,0.40418144033259,0.0382255991597114,0.0263246181003319,0.0262717985052591,0.0154234106907256,0.0321238758429847,0.0134642075949575
"SPL-DU-00038",0.00909787988308698,0.0110862030929018,0.00289126533508302,0.0245898908407327,0.0129250640192606,0.00525099251557702,0.00762124891584378,0.00401835162709398,0.0161005315541167,0.0229380996431755,0.0137680373875185,0.00420857369460605,0.00311334337933698,0.00488314652999061,0.00754063842038736,0.0102841085796303,0.00239545902308395,0.00279035155490353,0.83449681400367
"SPL-DU-00039",0.00832033394877974,0.00935912243446069,0.00239723332703882,0.00864972446193198,0.011643480812188,0.0044391201257458,0.00604001155050458,0.00320315523956109,0.0137637387694623,0.0219243442610665,0.0133768496217842,0.0035620250028254,0.0025218021522313,0.00386974372625849,0.00667050245458332,0.00891840600190982,0.00195952102287449,0.00231166141748342,0.86706922366931
"SPL-DU-00040",0.0232106681044104,0.0285807160105247,0.00747055711644162,0.485704297664479,0.0281628176398567,0.0123719448805253,0.0215191293968376,0.0104713294292277,0.0365139283006014,0.0357143754235067,0.0304566564788577,0.0106628618718265,0.00800809027236021,0.0129094970179272,0.0165297952244413,0.0225040983728774,0.0065352504548689,0.00807956186783194,0.194594424472597
"SPL-DU-00041",0.221012803259359,0.0403326536183088,0.0100721362976598,0.0353721685434574,0.0492477518600265,0.0177602425578056,0.0246528537931431,0.0140047696868295,0.0492254405102882,0.0633407622937091,0.0417285887494321,0.0148084404582583,0.0125202417245618,0.0178567943434493,0.0249098465683474,0.0334253158989371,0.00882727933945889,0.0112536589768865,0.309648251520081
"SPL-DU-00042",0.00445915241709539,0.00524925672618666,0.00135559638535727,0.0050027375416831,0.00650400837830733,0.00263966229788887,0.00359291427086455,0.00185395774688002,0.00815522373847688,0.0124025867114739,0.00689336787240349,0.00199894611035703,0.00141530717328801,0.00217381333346206,0.00382456470422586,0.00529195445478774,0.00114739413091527,0.00132759293458134,0.924711963071765
"SPL-DU-00043 T",0.0076290695250195,0.00857748031256871,0.00220269715232063,0.00800489486572515,0.0106299327500571,0.00409621509753648,0.00560010581416562,0.00294863482787985,0.0126076246484398,0.0215380150551818,0.0118141512890264,0.0032608808257422,0.00232560931630981,0.00357563960037379,0.00612904540168859,0.00825557433408388,0.00180724054982185,0.00213564555570163,0.876861543078357
"SPL-DU-00045",0.0114252165037713,0.0132520149019302,0.00356538555444073,0.0127775060334627,0.0164431043890271,0.00636931602839284,0.00926132288994212,0.0048716129419356,0.0181004766673736,0.165415738896425,0.0162296686730196,0.00518388721088956,0.00417708124578614,0.00620519922775245,0.00970444046760928,0.0124035272419464,0.00304867545138947,0.00387204941563673,0.677693776259269
"SPL-DU-00048",0.0237965022975451,0.0348295941452047,0.00758316116860638,0.0342196294846147,0.0334276290864186,0.013484205667107,0.0193688937580879,0.0105368783069989,0.0361292197522719,0.0496407463917915,0.0285715451205243,0.0109604053705105,0.0161736394338021,0.0149572650020392,0.0178777413495816,0.0230555852286023,0.0063883549792505,0.0082512674297249,0.610747736027318
"SPL-DU-00050",0.0183740528686306,0.0189532755721383,0.00479570915287729,0.0164853922315795,0.0211676325169428,0.00869726419655373,0.0115484563946478,0.0062617693438618,0.0310577413244542,0.0345834498671694,0.0316901838600123,0.0070829886104362,0.00487755943457108,0.00774190671627338,0.0125914776295262,0.0164259408448798,0.00379823480313498,0.00448490396314912,0.739382060669162
"SPL-DU-00052",0.00560416092499883,0.00753774252808285,0.00180698010954024,0.00684231603087953,0.00909725038677354,0.00340960141146319,0.00462254750359298,0.00241985853770524,0.0107082668505283,0.0166251206408201,0.00921058124660704,0.00267505312385356,0.00190630548855347,0.00290116498180603,0.00489813678585895,0.00664329311333575,0.00149197905838493,0.00177953751824506,0.89982010375897
"SPL-DU-00053 T",0.00520343831017617,0.00706582670824224,0.00169950946831154,0.00646652425209746,0.00866668747829784,0.00322793646934669,0.00435904398058313,0.00228108056587125,0.0102353252619299,0.0155628911463995,0.0085354186163389,0.00250484557237332,0.00179577881565206,0.00272382933134871,0.00461262881879162,0.00624891655858777,0.00140354187725242,0.0016660771867994,0.9057406995816
"SPL-DU-00054",0.0134617282860422,0.0149621524833266,0.00411341112324961,0.0149245587695552,0.019500665920785,0.00687312710681213,0.0100785128743549,0.00561464473043572,0.0185076332205588,0.599512893622711,0.0171554700665782,0.00589622989142202,0.00512581112988463,0.00764810933590942,0.0107010442933611,0.0128153494086887,0.00352604734731992,0.00473526418407905,0.224847346204926
"SPL-DU-00055 T",0.00857799975904402,0.00882411555018626,0.00257468699341147,0.00863970248691314,0.0116227081291236,0.00420275326342647,0.00615736620288953,0.00348126817546778,0.0113194576423007,0.755373958800234,0.0110327785712987,0.0036957964764967,0.00305438119112504,0.00469137814071601,0.00688582649576499,0.00799979389436244,0.00215807541053235,0.00288342221320365,0.136824530603503
"SPL-DU-00056",0.0137293714922815,0.014956090845675,0.00376131759618557,0.0133471397735893,0.0176302892003484,0.00678766992785324,0.0092409993396946,0.00494842496698685,0.0211221123104245,0.03096606216999,0.0245199675930651,0.00565247427998553,0.00391792036068146,0.00602631437860882,0.0100317701604134,0.0134371580109537,0.0030318422123583,0.00364794838685293,0.793245126994052
"SPL-DU-00057",0.00522689863803865,0.00703307971697484,0.00183876598682585,0.895496781330447,0.00668895384779282,0.00289503126643854,0.00472502407700385,0.00251004804935713,0.00865223119901664,0.00708462100348402,0.00738472374501645,0.00255298227605827,0.00189689076055948,0.00319233967281012,0.00373623201937509,0.00494058908479149,0.00152757819088908,0.00181847476433982,0.0307987543707813
