"tSNE1","tSNE2","sample_id","predicted_class","confidence_score","confidence_tier","frac_na","qc_flag","dataset"
-3.86326369078013,19.864285792358,"CPH20","CPH",NA,NA,NA,NA,"Jurmeister"
9.21231154213569,-2.99772158929324,"EWS1","EWS",NA,NA,NA,NA,"Jurmeister"
8.74467602436061,-3.79736858509134,"EWS2","EWS",NA,NA,NA,NA,"Jurmeister"
8.48653601559557,-3.39763603837624,"EWS3","EWS",NA,NA,NA,NA,"Jurmeister"
9.04029126565768,-4.53891611612334,"EWS4","EWS",NA,NA,NA,NA,"Jurmeister"
7.75986674812977,-2.00494551209429,"EWS5","EWS",NA,NA,NA,NA,"Jurmeister"
8.28477910967944,-2.27816884623976,"EWS6","EWS",NA,NA,NA,NA,"Jurmeister"
7.73925426583217,-2.12344120565593,"EWS7","EWS",NA,NA,NA,NA,"Jurmeister"
8.22762019365335,-3.19055786607662,"EWS8","EWS",NA,NA,NA,NA,"Jurmeister"
9.06949684976244,-2.85568542813602,"EWS9","EWS",NA,NA,NA,NA,"Jurmeister"
7.50500961293249,-1.9794573886365,"EWS10","EWS",NA,NA,NA,NA,"Jurmeister"
18.7608792598401,-1.4989408940811,"ONB1","ONB",NA,NA,NA,NA,"Jurmeister"
18.1305588318237,2.90325761516671,"ONB2","ONB",NA,NA,NA,NA,"Jurmeister"
18.6889819738658,-1.67605171582109,"ONB3","ONB",NA,NA,NA,NA,"Jurmeister"
18.7470265863688,-1.52970773882515,"ONB4","ONB",NA,NA,NA,NA,"Jurmeister"
26.8859604263017,6.16097375224246,"ONB5","ONB",NA,NA,NA,NA,"Jurmeister"
27.3270531913638,7.15819626545817,"ONB6","ONB",NA,NA,NA,NA,"Jurmeister"
20.2568582334875,3.85743362201721,"ONB7","ONB",NA,NA,NA,NA,"Jurmeister"
21.2261883710179,4.09075008722546,"ONB8","ONB",NA,NA,NA,NA,"Jurmeister"
21.5325373504132,5.33690564444368,"ONB9","ONB",NA,NA,NA,NA,"Jurmeister"
23.0934190171499,7.10923607839514,"ONB10","ONB",NA,NA,NA,NA,"Jurmeister"
22.2178261090416,2.4102792490701,"ONB11","ONB",NA,NA,NA,NA,"Jurmeister"
